DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays
https://comptox.epa.gov/dashboard/chemical/details/DTXSID50953279,"4',5'-Dihydroxy-5-methoxy-2'-methyl[1,1'-biphenyl]-2-carboperoxoic acid",31186-12-6,GWGIZSANXIQQQR-UHFFFAOYSA-N,"4',5'-Dihydroxy-5-methoxy-2'-methyl[1,1'-biphenyl]-2-carboperoxoic acid",COC1=CC(=C(C=C1)C(=O)OO)C1=CC(O)=C(O)C=C1C,"InChI=1S/C15H14O6/c1-8-5-13(16)14(17)7-11(8)12-6-9(20-2)3-4-10(12)15(18)21-19/h3-7,16-17,19H,1-2H3",C15H14O6,290.271,290.079038,10,,16,,5, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00891814,Koninginin E,154631-25-1,INHVGPIPHZJQOP-ZNMIVQPWSA-N,"(2S,8R)-8-Hydroxy-2-[(1S)-1-hydroxyheptyl]-2,3,4,6,7,8-hexahydro-5H-1-benzopyran-5-one",[H][C@]1(CCC2=C(O1)[C@H](O)CCC2=O)[C@@H](O)CCCCCC,"InChI=1S/C16H26O4/c1-2-3-4-5-6-13(18)15-10-7-11-12(17)8-9-14(19)16(11)20-15/h13-15,18-19H,2-10H2,1H3/t13-,14+,15-/m0/s1",C16H26O4,282.38,282.183109,8,,16,,3, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID20956075,"6-(1-Hydroxypentyl)-4-methoxy-5,6-dihydro-2H-pyran-2-one",34565-32-7,YFIMUDXPJZVJJO-UWVGGRQHSA-N,"(6S)-6-[(1S)-1-Hydroxypentyl]-4-methoxy-5,6-dihydro-2H-pyran-2-one",[H][C@](O)(CCCC)[C@]1([H])CC(OC)=CC(=O)O1,"InChI=1S/C11H18O4/c1-3-4-5-9(12)10-6-8(14-2)7-11(13)15-10/h7,9-10,12H,3-6H2,1-2H3/t9-,10-/m0/s1",C11H18O4,214.261,214.120509,7,,26,,5, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1074830,Penicillic acid,90-65-3,VOUGEZYPVGAPBB-UHFFFAOYSA-N,"3-Methoxy-5-methyl-4-oxohexa-2,5-dienoic acid",COC(=CC(O)=O)C(=O)C(C)=C,"InChI=1S/C8H10O4/c1-5(2)8(11)6(12-3)4-7(9)10/h4H,1H2,2-3H3,(H,9,10)",C8H10O4,170.164,170.057909,70,128,41,,, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00891798,Cyclopiazonic acid,18172-33-3,SZINUGQCTHLQAZ-DQYPLSBCSA-N,"(6aR,11aS,11bR)-10-Acetyl-11-hydroxy-7,7-dimethyl-2,6,6a,7,11a,11b-hexahydro-9H-pyrrolo[1',2':2,3]isoindolo[4,5,6-cd]indol-9-one",[H][C@@]12CC3=C4C(NC=C4[C@]1([H])[C@]1([H])N(C(=O)C(C(C)=O)=C1O)C2(C)C)=CC=C3,"InChI=1S/C20H20N2O3/c1-9(23)14-18(24)17-16-11-8-21-13-6-4-5-10(15(11)13)7-12(16)20(2,3)22(17)19(14)25/h4-6,8,12,16-17,21,24H,7H2,1-3H3/t12-,16+,17+/m1/s1",C20H20N2O3,336.391,336.147393,55,,31,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5020784,Lovastatin,75330-75-5,PCZOHLXUXFIOCF-BXMDZJJMSA-N,"(1S,3R,7S,8S,8aR)-8-{2-[(2R,4R)-4-Hydroxy-6-oxooxan-2-yl]ethyl}-3,7-dimethyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl (2S)-2-methylbutanoate",[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,"InChI=1S/C24H36O5/c1-5-15(3)24(27)29-21-11-14(2)10-17-7-6-16(4)20(23(17)21)9-8-19-12-18(25)13-22(26)28-19/h6-7,10,14-16,18-21,23,25H,5,8-9,11-13H2,1-4H3/t14-,15-,16-,18+,19+,20-,21-,23-/m0/s1",C24H36O5,404.547,404.256274,164,4310,286,,1,227/996,23.0,996
https://comptox.epa.gov/dashboard/chemical/details/DTXSID60932479,"2-Amino-12,16-dimethylicosane-3,5,10,14,15-pentol",145040-09-1,UWWVLQOLROBFTD-OFFHYKNXSA-N,"(2S,3S,5R,10S,12R,14R,15S,16S)-2-Amino-12,16-dimethylicosane-3,5,10,14,15-pentol",[H][C@@](C)(N)[C@@]([H])(O)C[C@]([H])(O)CCCC[C@]([H])(O)C[C@@]([H])(C)C[C@@]([H])(O)[C@@]([H])(O)[C@@]([H])(C)CCCC,"InChI=1S/C22H47NO5/c1-5-6-9-16(3)22(28)21(27)13-15(2)12-18(24)10-7-8-11-19(25)14-20(26)17(4)23/h15-22,24-28H,5-14,23H2,1-4H3/t15-,16+,17+,18+,19-,20+,21-,22+/m1/s1",C22H47NO5,405.62,405.345424,7,,8,,5, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID60894866,Cytochalasin E,36011-19-5,LAJXCUNOQSHRJO-ZYGJITOWSA-N,"(1E,4S,6R,7E,11aS,14S,14aS,15S,15aR,16aS,16bS)-14-Benzyl-6-hydroxy-4,6,15,15a-tetramethyl-3,13,14,14a,15,15a,16a,16b-octahydro-10H-[1,3]dioxacyclotridecino[4,5-d]oxireno[f]isoindole-5,10,12(4H,6H)-tri
one",[H][C@@]12O[C@]1(C)[C@@H](C)[C@@]1([H])[C@H](CC3=CC=CC=C3)NC(=O)[C@]11OC(=O)O\C=C\[C@@](C)(O)C(=O)[C@@H](C)C\C=C\[C@@H]21,"InChI=1S/C28H33NO7/c1-16-9-8-12-19-23-27(4,35-23)17(2)21-20(15-18-10-6-5-7-11-18)29-24(31)28(19,21)36-25(32)34-14-13-26(3,33)22(16)30/h5-8,10-14,16-17,19-21,23,33H,9,15H2,1-4H3,(H,29,31)/b12-8+,14-13+/t16-,17-,19-,20-,21-,23-,26+,27+,28+/m0/s1",C28H33NO7,495.572,495.225702,39,,38,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID50176769,Macrosporin,22225-67-8,FKTPLNFTYJEAAB-UHFFFAOYSA-N,"1,7-Dihydroxy-3-methoxy-6-methylanthracene-9,10-dione",COC1=CC2=C(C(O)=C1)C(=O)C1=C(C=C(C)C(O)=C1)C2=O,"InChI=1S/C16H12O5/c1-7-3-9-10(6-12(7)17)16(20)14-11(15(9)19)4-8(21-2)5-13(14)18/h3-6,17-18H,1-2H3",C16H12O5,284.267,284.068473,18,3,36,,4, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID50564248,"(3R)-8-Hydroxy-3,5-dimethyl-3,4-dihydro-1H-2-benzopyran-1-one",7734-92-1,YETSBBYQOFXYGV-SSDOTTSWSA-N,"(3R)-8-Hydroxy-3,5-dimethyl-3,4-dihydro-1H-2-benzopyran-1-one",C[C@@H]1CC2=C(C)C=CC(O)=C2C(=O)O1,"InChI=1S/C11H12O3/c1-6-3-4-9(12)10-8(6)5-7(2)14-11(10)13/h3-4,7,12H,5H2,1-2H3/t7-/m1/s1",C11H12O3,192.214,192.078644,11,,19,,5, ,,
